Cas,HR

17:11:42,100

17:11:43,109

17:11:44,110

17:11:45,85

17:11:46,76

17:11:47,82

17:11:48,79

17:11:49,96

17:11:50,96

17:11:51,96

17:11:52,79

17:11:53,86

17:11:54,94

17:11:55,92

17:11:56,99

17:11:57,95

17:11:58,95

17:11:59,104

17:12:00,108

17:12:01,119

17:12:02,92

17:12:03,94

17:12:04,81

17:12:05,75

17:12:06,75

17:12:07,97

17:12:08,112

17:12:09,103

17:12:10,89

17:12:11,89

17:12:12,87

17:12:13,92

17:12:14,97

17:12:15,90

17:12:16,82

17:12:17,67

17:12:18,70

17:12:19,95

17:12:20,116

17:12:21,116

17:12:22,99

17:12:23,99

17:12:24,99

17:12:25,84

17:12:26,82

17:12:27,94

17:12:28,121

17:12:29,108

17:12:30,105

17:12:31,94

17:12:32,98

17:12:33,107

17:12:34,112

17:12:35,93

17:12:36,93

17:12:37,71

17:12:38,66

17:12:39,71

17:12:40,68

17:12:41,98

17:12:42,127

17:12:43,121

17:12:44,96

17:12:45,100

17:12:46,112

17:12:47,128

17:12:48,111

17:12:49,99

17:12:50,94

17:12:51,138

17:12:52,137

17:12:53,132

17:12:54,118

17:12:55,113

17:12:56,114

17:12:57,121

17:12:58,104

17:12:59,99

17:13:00,99

17:13:01,110

17:13:02,113

17:13:03,134

17:13:04,139

17:13:05,139

17:13:06,139

17:13:07,122

17:13:08,120

17:13:09,140

17:13:10,141

17:13:11,149

17:13:12,126

17:13:13,114

17:13:14,86

17:13:15,86

17:13:16,83

17:13:17,59

17:13:18,64

17:13:19,64

17:13:20,69

17:13:21,68

17:13:22,75

17:13:23,75

17:13:24,80

17:13:25,80

17:13:26,71

17:13:27,108

17:13:28,139

17:13:29,140

17:13:30,110

17:13:31,112

17:13:32,112

17:13:33,92

17:13:34,92

17:13:35,112

17:13:36,126

17:13:37,129

17:13:38,126

17:13:39,144

17:13:40,147

17:13:41,121

17:13:42,119

17:13:43,135

17:13:44,114

17:13:45,111

17:13:46,86

17:13:47,115

17:13:48,115

17:13:49,110

17:13:50,86

17:13:51,82

17:13:52,98

17:13:53,94

17:13:54,97

17:13:55,122

17:13:56,123

17:13:57,138

17:13:58,156

17:13:59,138

17:14:00,115

17:14:01,154

17:14:02,142

17:14:03,115

17:14:04,141

17:14:05,146

17:14:06,143

17:14:07,145

17:14:08,126

17:14:09,100

17:14:10,100

17:14:11,94

17:14:12,67

17:14:13,62

17:14:14,104

17:14:15,104

17:14:16,104

17:14:17,102

17:14:18,93

17:14:19,146

17:14:20,147

17:14:21,125

17:14:22,81

17:14:23,79

17:14:24,77

17:14:25,106

17:14:26,153

17:14:26,162

17:14:27,145

17:14:28,114

17:14:29,76

17:14:30,76

17:14:31,75

17:14:32,76

17:14:33,76

17:14:34,70

17:14:35,91

17:14:36,150

17:14:37,131

17:14:38,112

17:14:39,80

17:14:40,74

17:14:41,75

17:14:42,72

17:14:43,72

17:14:44,72

17:14:45,76

17:14:46,83

17:14:47,83

17:14:48,84

17:14:49,82

17:14:50,84

17:14:51,84

17:14:52,84

17:14:53,83

17:14:54,83

17:14:55,73

17:14:56,75

17:14:57,71

17:14:58,79

17:14:59,83

17:15:00,79

17:15:01,80

17:15:02,76

17:15:03,101

17:15:04,101

17:15:05,96

17:15:06,94

17:15:07,74

17:15:08,72

17:15:09,121

17:15:10,120

17:15:11,126

17:15:12,101

17:15:13,130

17:15:14,140

17:15:15,115

17:15:16,88

17:15:17,93

17:15:18,106

17:15:19,123

17:15:20,93

17:15:21,79

17:15:22,70

17:15:23,106

17:15:24,139

17:15:25,133

17:15:26,145

17:15:27,145

17:15:28,157

17:15:29,114

17:15:30,114

17:15:31,114

17:15:32,135

17:15:33,112

17:15:34,108

17:15:35,109

17:15:36,83

17:15:37,66

17:15:38,72

17:15:39,68

17:15:40,75

17:15:41,75

17:15:42,122

17:15:43,125

17:15:44,125

17:15:45,121

17:15:46,108

17:15:47,71

17:15:48,115

17:15:49,105

17:15:50,116

17:15:51,101

17:15:52,83

17:15:53,81

17:15:54,79

17:15:55,81

17:15:56,80

17:15:57,82

17:15:58,77

17:15:59,81

17:16:00,81

17:16:01,86

17:16:02,82

17:16:03,81

17:16:04,77

17:16:05,75

17:16:06,78

17:16:07,137

17:16:08,127

17:16:09,105

17:16:10,132

17:16:11,127

17:16:12,116

17:16:13,88

17:16:14,77

17:16:15,72

17:16:16,82

17:16:17,87

17:16:18,103

17:16:19,134

17:16:20,124

17:16:21,132

17:16:22,143

17:16:23,129

17:16:24,134

17:16:25,118

17:16:26,113

17:16:27,84

17:16:28,112

17:16:29,112

17:16:30,105

17:16:31,104

17:16:32,119

17:16:33,100

17:16:34,83

17:16:35,67

17:16:36,72

17:16:37,71

17:16:38,72

17:16:39,92

17:16:40,94

17:16:41,91

17:16:42,74

17:16:43,95

17:16:44,97

17:16:45,95

17:16:46,74

17:16:47,74

17:16:48,69

17:16:49,63

17:16:50,60

17:16:51,66

17:16:52,74

17:16:53,73

17:16:54,73

17:16:55,65

17:16:56,69

17:16:57,87

17:16:58,87

17:16:59,98

17:17:00,89

17:17:01,84

17:17:02,65

17:17:03,111

17:17:04,158

17:17:05,130

17:17:06,155

17:17:07,140

17:17:08,123

17:17:09,98

17:17:10,79

17:17:11,73

17:17:12,77

17:17:12,79

17:17:13,74

17:17:14,74

17:17:15,65

17:17:16,64

17:17:17,68

17:17:18,118

17:17:19,119

