Cas,HR

19:19:07,0

19:19:08,0

19:19:09,69

19:19:10,67

19:19:11,67

19:19:12,68

19:19:13,70

19:19:14,71

19:19:15,74

19:19:15,74

19:19:16,77

19:19:17,77

19:19:18,75

19:19:19,71

19:19:20,69

19:19:21,67

19:19:22,70

19:19:23,71

19:19:24,70

19:19:25,73

19:19:26,75

19:19:27,77

19:19:28,68

19:19:29,88

19:19:30,83

19:19:31,106

19:19:32,79

19:19:33,76

19:19:34,83

19:19:35,94

19:19:36,99

19:19:37,90

19:19:38,67

19:19:39,66

19:19:40,67

19:19:41,68

19:19:42,69

19:19:43,61

19:19:44,58

19:19:45,59

19:19:46,59

19:19:47,59

19:19:48,59

19:19:49,59

19:19:50,59

19:19:51,59

19:19:52,59

19:19:53,61

19:19:54,62

19:19:55,67

19:19:56,74

19:19:57,86

19:19:58,91

19:19:59,92

19:20:00,92

19:20:01,92

19:20:02,92

19:20:03,91

19:20:04,90

19:20:05,91

19:20:06,91

19:20:07,92

19:20:08,93

19:20:09,92

19:20:10,92

19:20:11,92

19:20:12,90

19:20:13,111

19:20:14,122

19:20:15,102

19:20:16,104

19:20:17,122

19:20:18,131

19:20:19,114

19:20:20,116

19:20:21,92

19:20:22,104

19:20:23,115

19:20:24,113

19:20:25,110

19:20:26,110

19:20:27,110

19:20:28,110

19:20:29,110

19:20:30,110

19:20:31,110

19:20:32,111

19:20:33,110

19:20:34,108

19:20:35,107

19:20:36,108

19:20:37,111

19:20:38,115

19:20:39,116

19:20:40,113

19:20:41,111

19:20:42,104

19:20:43,99

19:20:44,90

19:20:45,89

19:20:46,93

19:20:47,99

19:20:48,98

19:20:49,97

19:20:50,94

19:20:51,93

19:20:52,91

19:20:53,84

19:20:54,81

19:20:55,80

19:20:56,81

19:20:57,82

19:20:58,81

19:20:59,81

19:21:00,81

19:21:01,80

19:21:02,79

19:21:03,79

19:21:04,80

19:21:05,80

19:21:06,78

19:21:07,77

19:21:08,75

19:21:09,74
