Cas,HR

19:22:16,0

19:22:17,0

19:22:18,85

19:22:19,85

19:22:20,69

19:22:21,73

19:22:22,57

19:22:23,90

19:22:24,89

19:22:25,99

19:22:26,95

19:22:27,95

19:22:28,95

19:22:29,95

19:22:30,91

19:22:31,63

19:22:32,63

19:22:33,68

19:22:34,77

19:22:35,77

19:22:36,75

19:22:37,79

19:22:38,76

19:22:39,76

19:22:40,75

19:22:41,74

19:22:42,75

19:22:43,72

19:22:44,70

19:22:45,70

19:22:46,73

19:22:47,103

19:22:48,103

19:22:49,108

19:22:50,108

19:22:51,108

19:22:52,87

19:22:53,101

19:22:54,110

19:22:55,103

19:22:56,73

19:22:57,74

19:22:58,74

19:22:59,76

19:23:00,80

19:23:01,79

19:23:02,82

19:23:03,78

19:23:04,103

19:23:05,105

19:23:06,98

19:23:07,80

19:23:08,80

19:23:09,81

19:23:10,89

19:23:11,84

19:23:12,89

19:23:13,85

19:23:14,80

19:23:15,87

19:23:16,76

19:23:17,113

19:23:18,122

19:23:19,127

19:23:20,108

19:23:21,103

19:23:22,101

19:23:23,114

19:23:24,116

19:23:25,115

19:23:26,108

19:23:27,101

19:23:28,93

19:23:29,79

19:23:30,91

19:23:31,102

19:23:32,118

19:23:33,115

19:23:34,113

19:23:35,111

19:23:36,104

19:23:37,113

19:23:38,126

19:23:39,128

19:23:40,126

19:23:41,124

19:23:42,120

19:23:43,114

19:23:44,115

19:23:45,117

19:23:46,115

19:23:47,111

19:23:48,113

19:23:49,110

19:23:50,107

19:23:51,107

19:23:52,105

19:23:53,104

19:23:54,101

19:23:55,102

19:23:56,99

19:23:57,99

19:23:58,99

19:23:59,99

19:24:00,98

19:24:01,98

19:24:02,98

19:24:03,97

19:24:04,100

19:24:05,99

19:24:06,101

19:24:07,97

19:24:08,94

19:24:09,91

19:24:10,93

19:24:11,93

19:24:12,92

19:24:13,91

19:24:14,89

19:24:15,86

19:24:16,85

19:24:17,86

19:24:18,85

19:24:19,83

19:24:20,82

19:24:21,81

19:24:22,83

19:24:23,84

19:24:24,86

19:24:25,85

19:24:26,85

19:24:27,82

19:24:28,76

19:24:29,75

19:24:30,76

19:24:31,84

19:24:32,83

19:24:33,86

